region,month,NO2_umol_m2
Abra,2023-12-01,40.93762661722917
Abra,2024-01-01,41.887944305795834
Abra,2024-02-01,50.077768210967115
Abra,2024-03-01,51.39083953813338
Abra,2024-04-01,60.29621830541984
Abra,2024-05-01,58.96959633772847
Abra,2024-06-01,53.58478107571716
Abra,2024-07-01,54.129090980697484
Abra,2024-08-01,50.92991086664226
Abra,2024-09-01,52.77175229879676
Abra,2024-10-01,51.27346771395191
Abra,2024-11-01,46.91138381010685
Abra,2024-12-01,44.312061091730826
Abra,2025-01-01,46.56305317121484
Abra,2025-02-01,47.78481775630456
Abra,2025-03-01,53.58979166534047
Abra,2025-04-01,60.496757379971164
Abra,2025-05-01,61.05734416300443
Agusan del Norte,2018-06-01,47.2965003187618
Agusan del Norte,2018-07-01,46.16137623890484
Agusan del Norte,2018-08-01,45.25803119690438
Agusan del Norte,2018-09-01,44.127233152678514
Agusan del Norte,2018-10-01,44.47629864587086
Agusan del Norte,2018-11-01,40.171987304184256
Agusan del Norte,2018-12-01,40.52825327824175
Agusan del Norte,2019-01-01,37.07198719395814
Agusan del Norte,2019-02-01,37.82427333118829
Agusan del Norte,2019-03-01,39.01381639126433
Agusan del Norte,2019-04-01,37.64563032144275
Agusan del Norte,2019-05-01,45.043997373050686
Agusan del Norte,2019-06-01,43.611768537593704
Agusan del Norte,2019-07-01,41.33437081896979
Agusan del Norte,2019-08-01,41.261792419282436
Agusan del Norte,2019-09-01,36.35247692078292
Agusan del Norte,2019-10-01,36.50232734686661
Agusan del Norte,2019-11-01,34.92850910380746
Agusan del Norte,2019-12-01,34.0298693112976
Agusan del Norte,2020-01-01,31.200566386418924
Agusan del Norte,2020-02-01,32.483832684937056
Agusan del Norte,2020-03-01,34.061045776337515
Agusan del Norte,2020-04-01,39.502950164482606
Agusan del Norte,2020-05-01,40.370051492583315
Agusan del Norte,2020-06-01,40.96823453673621
Agusan del Norte,2020-07-01,40.587516433153475
Agusan del Norte,2020-08-01,42.0608720107294
Agusan del Norte,2020-09-01,40.76181442861051
Agusan del Norte,2020-10-01,41.08955823481444
Agusan del Norte,2020-11-01,41.112054862002296
Agusan del Norte,2020-12-01,36.57410327315232
Agusan del Norte,2021-01-01,32.483375973844154
Agusan del Norte,2021-02-01,35.17131213922574
Agusan del Norte,2021-03-01,37.18241185449615
Agusan del Norte,2021-04-01,43.85823392654951
Agusan del Norte,2021-05-01,42.52852638798488
Agusan del Norte,2021-06-01,42.612085460034855
Agusan del Norte,2021-07-01,44.73101598143405
Agusan del Norte,2021-08-01,42.96156339711208
Agusan del Norte,2021-09-01,43.99372023173658
Agusan del Norte,2021-10-01,41.97348778801651
Agusan del Norte,2021-11-01,39.60329251764338
Agusan del Norte,2021-12-01,40.04693846068421
Agusan del Norte,2022-01-01,40.94747240568506
Agusan del Norte,2022-02-01,39.535212941511766
Agusan del Norte,2022-03-01,37.51797583916045
Agusan del Norte,2022-04-01,41.0457218315704
Agusan del Norte,2022-05-01,42.137066593528836
Agusan del Norte,2022-06-01,40.869475897808584
Agusan del Norte,2022-07-01,40.9294063650294
