adm2_en,month,NO2,date
Maguindanao del Norte,2019-08,3.7702013214829715E-5,2019-08-01T00:00:00
Maguindanao del Sur,2019-08,4.01613995392958E-5,2019-08-01T00:00:00
Davao de Oro,2019-09,3.67069080480272E-5,2019-09-01T00:00:00
Davao Occidental,2019-09,3.500235492283388E-5,2019-09-01T00:00:00
Cotabato,2019-09,3.787145506936283E-5,2019-09-01T00:00:00
Maguindanao del Norte,2019-09,3.7155072719449954E-5,2019-09-01T00:00:00
Maguindanao del Sur,2019-09,3.9356956117194424E-5,2019-09-01T00:00:00
Davao de Oro,2019-10,3.5537046442656004E-5,2019-10-01T00:00:00
Davao Occidental,2019-10,3.3773460247283126E-5,2019-10-01T00:00:00
Cotabato,2019-10,3.742302004243767E-5,2019-10-01T00:00:00
Maguindanao del Norte,2019-10,3.63923702307983E-5,2019-10-01T00:00:00
Maguindanao del Sur,2019-10,3.8445342229502457E-5,2019-10-01T00:00:00
Davao de Oro,2019-11,3.5939308238360694E-5,2019-11-01T00:00:00
Davao Occidental,2019-11,3.469176276514826E-5,2019-11-01T00:00:00
Cotabato,2019-11,3.61785122897858E-5,2019-11-01T00:00:00
Maguindanao del Norte,2019-11,3.549969475201483E-5,2019-11-01T00:00:00
Maguindanao del Sur,2019-11,3.741815024179165E-5,2019-11-01T00:00:00
Davao de Oro,2019-12,3.375929130256183E-5,2019-12-01T00:00:00
Davao Occidental,2019-12,3.3035178631854423E-5,2019-12-01T00:00:00
Cotabato,2019-12,3.49618422437227E-5,2019-12-01T00:00:00
Maguindanao del Norte,2019-12,3.5293606660477695E-5,2019-12-01T00:00:00
Maguindanao del Sur,2019-12,3.7408827714046844E-5,2019-12-01T00:00:00
Davao de Oro,2020-01,3.1525670360594956E-5,2020-01-01T00:00:00
Davao Occidental,2020-01,3.147981479410925E-5,2020-01-01T00:00:00
Cotabato,2020-01,3.3736570046341E-5,2020-01-01T00:00:00
Maguindanao del Norte,2020-01,3.46345673151234E-5,2020-01-01T00:00:00
Maguindanao del Sur,2020-01,3.501306274316304E-5,2020-01-01T00:00:00
Davao de Oro,2020-02,3.134240742353257E-5,2020-02-01T00:00:00
Davao Occidental,2020-02,3.0778669332080296E-5,2020-02-01T00:00:00
Cotabato,2020-02,3.471238652990547E-5,2020-02-01T00:00:00
Maguindanao del Norte,2020-02,3.600586564804804E-5,2020-02-01T00:00:00
