adm2_en,month,NO2,date
Davao Occidental,2024-07,3.899604016005941E-5,2024-07-01T00:00:00
Cotabato,2024-07,4.1316260307916656E-5,2024-07-01T00:00:00
Maguindanao del Norte,2024-07,3.992149270012259E-5,2024-07-01T00:00:00
Maguindanao del Sur,2024-07,4.2100392070736066E-5,2024-07-01T00:00:00
Davao de Oro,2024-08,3.78645648590735E-5,2024-08-01T00:00:00
Davao Occidental,2024-08,3.5404845984738705E-5,2024-08-01T00:00:00
Cotabato,2024-08,3.93440920522849E-5,2024-08-01T00:00:00
Maguindanao del Norte,2024-08,3.801434646103491E-5,2024-08-01T00:00:00
Maguindanao del Sur,2024-08,4.0140824401988846E-5,2024-08-01T00:00:00
Davao de Oro,2024-09,3.8910994792028475E-5,2024-09-01T00:00:00
Davao Occidental,2024-09,3.677131071105194E-5,2024-09-01T00:00:00
Cotabato,2024-09,3.8814567156825625E-5,2024-09-01T00:00:00
Maguindanao del Norte,2024-09,3.809452214659046E-5,2024-09-01T00:00:00
Maguindanao del Sur,2024-09,3.981423374057978E-5,2024-09-01T00:00:00
Davao de Oro,2024-10,4.067646693200718E-5,2024-10-01T00:00:00
Davao Occidental,2024-10,3.674235568804931E-5,2024-10-01T00:00:00
Cotabato,2024-10,4.051951708283222E-5,2024-10-01T00:00:00
Maguindanao del Norte,2024-10,3.9526359477863953E-5,2024-10-01T00:00:00
Maguindanao del Sur,2024-10,4.118776311850966E-5,2024-10-01T00:00:00
Davao de Oro,2024-11,3.698072749172716E-5,2024-11-01T00:00:00
Davao Occidental,2024-11,3.4220016657519617E-5,2024-11-01T00:00:00
Cotabato,2024-11,3.981028901017851E-5,2024-11-01T00:00:00
Maguindanao del Norte,2024-11,3.930125599394783E-5,2024-11-01T00:00:00
Maguindanao del Sur,2024-11,4.016004790537459E-5,2024-11-01T00:00:00
Davao de Oro,2024-12,3.5229109249769344E-5,2024-12-01T00:00:00
Davao Occidental,2024-12,3.143943589747884E-5,2024-12-01T00:00:00
Cotabato,2024-12,3.552599393368888E-5,2024-12-01T00:00:00
Maguindanao del Norte,2024-12,3.47174044926576E-5,2024-12-01T00:00:00
Maguindanao del Sur,2024-12,3.523211936748591E-5,2024-12-01T00:00:00
Davao de Oro,2025-01,3.2791020448509996E-5,2025-01-01T00:00:00
Davao Occidental,2025-01,3.0312349757584156E-5,2025-01-01T00:00:00
Cotabato,2025-01,3.511305897053335E-5,2025-01-01T00:00:00
Maguindanao del Norte,2025-01,3.5337408802765325E-5,2025-01-01T00:00:00
Maguindanao del Sur,2025-01,3.586656231636238E-5,2025-01-01T00:00:00
Davao de Oro,2025-02,3.147465158723333E-5,2025-02-01T00:00:00
Davao Occidental,2025-02,2.959799514388481E-5,2025-02-01T00:00:00
Cotabato,2025-02,3.394431199294545E-5,2025-02-01T00:00:00
Maguindanao del Norte,2025-02,3.291386380067271E-5,2025-02-01T00:00:00
Maguindanao del Sur,2025-02,3.334266305305749E-5,2025-02-01T00:00:00
Davao de Oro,2025-03,3.222582789149164E-5,2025-03-01T00:00:00
Davao Occidental,2025-03,2.9470738866658602E-5,2025-03-01T00:00:00
Cotabato,2025-03,3.465327179073447E-5,2025-03-01T00:00:00
Maguindanao del Norte,2025-03,3.446175058424281E-5,2025-03-01T00:00:00
Maguindanao del Sur,2025-03,3.5058391368989424E-5,2025-03-01T00:00:00
Davao de Oro,2025-04,3.305860532079695E-5,2025-04-01T00:00:00
Davao Occidental,2025-04,3.234823688746533E-5,2025-04-01T00:00:00
Cotabato,2025-04,3.8012209123778774E-5,2025-04-01T00:00:00
Maguindanao del Norte,2025-04,3.728544229326552E-5,2025-04-01T00:00:00
Maguindanao del Sur,2025-04,3.9139252891581346E-5,2025-04-01T00:00:00
Davao de Oro,2025-05,3.7565686071902676E-5,2025-05-01T00:00:00
Davao Occidental,2025-05,3.502734226657718E-5,2025-05-01T00:00:00
Cotabato,2025-05,4.1192812382274964E-5,2025-05-01T00:00:00
Maguindanao del Norte,2025-05,4.036419450047489E-5,2025-05-01T00:00:00
Maguindanao del Sur,2025-05,4.1226542834548926E-5,2025-05-01T00:00:00
